huh,ms,on_off,dunno,noclue,noclue
1,89724, Note_off_c,0,62,64
1,89939, Note_on_c,0,48,98
1,89947, Note_on_c,0,62,98
1,90015, Note_off_c,0,62,64
1,90060, Note_off_c,0,48,64
1,90200, Note_on_c,0,62,98
1,90262, Note_off_c,0,62,64
1,90461, Note_on_c,0,48,98
1,90469, Note_on_c,0,62,98
1,90539, Note_off_c,0,62,64
1,90577, Note_off_c,0,48,64
1,90730, Note_on_c,0,62,98
1,90784, Note_off_c,0,62,64
1,91006, Note_on_c,0,48,98
1,91014, Note_on_c,0,62,98
1,91075, Note_off_c,0,62,64
1,91092, Note_off_c,0,48,64
1,91275, Note_on_c,0,62,98
1,91339, Note_off_c,0,62,64
1,91544, Note_on_c,0,48,98
1,91552, Note_on_c,0,62,98
1,91605, Note_off_c,0,62,64
1,91613, Note_off_c,0,48,64
1,91805, Note_on_c,0,62,98
1,91866, Note_off_c,0,62,64
1,92097, Note_on_c,0,48,98
1,92115, Note_on_c,0,62,98
1,92150, Note_off_c,0,62,64
1,92163, Note_off_c,0,48,64
1,92373, Note_on_c,0,62,98
1,92431, Note_off_c,0,62,64
1,92619, Note_on_c,0,48,98
1,92635, Note_on_c,0,62,98
1,92688, Note_off_c,0,62,64
1,92696, Note_off_c,0,48,64
1,92875, Note_on_c,0,62,98
1,92927, Note_off_c,0,62,64
1,93166, Note_on_c,0,62,98
1,93202, Note_off_c,0,62,64
1,93303, Note_on_c,0,62,98
1,93333, Note_off_c,0,62,64
1,93694, Note_on_c,0,62,98
1,93720, Note_off_c,0,62,64
1,93794, Note_on_c,0,62,98
1,93840, Note_off_c,0,62,64
1,93909, Note_on_c,0,62,98
1,93948, Note_off_c,0,62,64
1,94009, Note_on_c,0,62,98
1,94063, Note_off_c,0,62,64
1,94117, Note_on_c,0,62,98
1,94163, Note_off_c,0,62,64
1,94219, Note_on_c,0,62,98
1,94262, Note_off_c,0,62,64
1,94324, Note_on_c,0,62,98
1,94378, Note_off_c,0,62,64
1,94432, Note_on_c,0,62,98
1,94477, Note_off_c,0,62,64
1,94531, Note_on_c,0,62,98
1,94593, Note_off_c,0,62,64
1,94733, Note_on_c,0,60,98
1,94800, Note_off_c,0,60,64
1,95038, Note_on_c,0,62,98
1,95123, Note_on_c,0,60,98
1,95155, Note_off_c,0,62,64
1,95194, Note_on_c,0,59,98
1,95223, Note_off_c,0,60,64
1,95299, Note_off_c,0,59,64
1,95499, Note_on_c,0,60,98
1,95595, Note_off_c,0,60,64
1,95760, Note_on_c,0,59,98
1,95821, Note_off_c,0,59,64
1,96060, Note_on_c,0,62,98
1,96141, Note_off_c,0,62,64
1,96183, Note_on_c,0,60,98
1,96277, Note_on_c,0,59,98
1,96282, Note_off_c,0,60,64
1,96436, Note_off_c,0,59,64
1,96444, Note_on_c,0,60,98
1,96505, Note_off_c,0,60,64
1,96628, Note_on_c,0,64,98
1,96715, Note_off_c,0,64,64
1,96891, Note_on_c,0,59,98
1,96989, Note_off_c,0,59,64
1,97166, Note_on_c,0,60,98
1,97259, Note_on_c,0,59,98
1,97266, Note_off_c,0,60,64
1,97373, Note_off_c,0,59,64
1,97434, Note_on_c,0,62,98
1,97526, Note_off_c,0,62,64
1,97697, Note_on_c,0,59,98
1,97780, Note_off_c,0,59,64
1,97926, Note_on_c,0,48,98
1,98028, Note_off_c,0,48,64
1,98149, Note_on_c,0,59,98
1,98241, Note_off_c,0,59,64
1,98302, Note_on_c,0,48,98
1,98379, Note_off_c,0,48,64
1,98479, Note_on_c,0,60,98
1,98587, Note_off_c,0,60,64
1,98740, Note_on_c,0,59,98
1,98834, Note_off_c,0,59,64
1,99078, Note_on_c,0,62,98
1,99117, Note_off_c,0,62,64
1,99293, Note_on_c,0,59,98
1,99386, Note_off_c,0,59,64
1,99423, Note_on_c,0,52,98
1,99523, Note_off_c,0,52,64
1,99627, Note_on_c,0,60,98
1,99717, Note_off_c,0,60,64
1,99787, Note_on_c,0,59,98
1,99884, Note_off_c,0,59,64
1,100076, Note_on_c,0,62,98
1,100161, Note_off_c,0,62,64
1,100292, Note_on_c,0,59,98
1,100399, Note_off_c,0,59,64
1,100476, Note_on_c,0,60,98
1,100575, Note_off_c,0,60,64
1,100596, Note_on_c,0,59,98
1,100637, Note_on_c,0,52,98
1,100639, Note_off_c,0,59,64
1,100714, Note_off_c,0,52,64
1,100869, Note_on_c,0,62,98
1,100983, Note_off_c,0,62,64
